"","X","business_id","review_id","user_id","stars.x","date","text","useful","funny","cool","name","address","city","state","postal_code","latitude","longitude","stars.y","review_count","is_open","categories"
"1",351888,"2Ff3ixS3vA70xBcN7pVo9g","SNmFky5cuqqTOdk8F1EUiQ","EmfYZX7mfTUB37gSjpcrAg",5,"2017-05-07","AHHHHHHH I LOVE LOVE LOVE CHIPOTLE SO MUCH! Deliciousness in a bowl wow this is my favourite place in the world. 

Chicken bowls are my best friends.",0,0,0,"Chipotle Mexican Grill","1 Bass Pro Mills Dr, Ste FC6A","Vaughan","ON","L4K 5W4",43.8253343578,-79.5383223519,3,14,1,"Restaurants;Fast Food;Mexican"
"2",351889,"2Ff3ixS3vA70xBcN7pVo9g","WlgCMNdxLBW8Bi0h4hUxtQ","8C6hTh9LIigOklz88Y-DdA",5,"2017-03-24","Amazing chicken and great customer service. Did i mention how much i love the guac? Its pretty A1",1,1,1,"Chipotle Mexican Grill","1 Bass Pro Mills Dr, Ste FC6A","Vaughan","ON","L4K 5W4",43.8253343578,-79.5383223519,3,14,1,"Restaurants;Fast Food;Mexican"
"3",351890,"2Ff3ixS3vA70xBcN7pVo9g","DtnN9t_qlrW1HiInhWCSWw","clmrlflES5HrXS-gl_YmrQ",3,"2016-04-18","Quite happy to FINALLY see a Chipotle in Vaughan Mills. I mean, what took so long! This is a must have staple for fast food in any mall.

Just like every other Chipotle, there is a line to get your order in, but this location does seem a little better than most others. The staff feel like they are moving quicker and get through your order to pay faster. The overall line doesn't seem as long as I've seen other locations snake around the food court. Definitely a better location in that sense.

Great food as per usual, so if you're now in the mood for some Chipotle, you can now travel to Vaughan Mills for it. I guess you can say there's a location that's a little closer now?",1,0,0,"Chipotle Mexican Grill","1 Bass Pro Mills Dr, Ste FC6A","Vaughan","ON","L4K 5W4",43.8253343578,-79.5383223519,3,14,1,"Restaurants;Fast Food;Mexican"
"4",351891,"2Ff3ixS3vA70xBcN7pVo9g","cFwm0gbnCNB0UqVMNDh30w","0U52n_sqA9j6UmB4mNVT9A",3,"2016-03-29","honestly speaking i was quite sad about my chipotle experience. for MONTHS, my friend and i were like WE SHOULD TRY CHIPOTLE OMGG IT LOOKS SO GOOD
OMERGERRD

i didn't get the experience i had hoped for. first off, i got the burrito bowl cause i figured i would get a tad bit more than just a regular burrito. just the bowl itself with some guac, it came to a whopping $12-13. (like damn $4-5 more and i could've just went to an ayce sushi place LOL)
but yeah

taste wise, i thought it was too salty. at first it's like HELL YEHA THIS THE BOMB but after a while it gets a bit ... salty and i swear i probably chugged all the water from the Niagara Falls CAUSE DAMN THAT BEAST MADE ME THIRSTY AF 

but yeah, oh and the guac was disappointing man like i thought it would taste bomb considering people ALWAYS ask for more but nah man that stuff ain't for me mate. and damn it was like pea sized amount for $2, $2.5? like hell naw that ain't right

one last thing the employees were quite poopy so beware 

i lied, I FORGOT TO MENTION BUT THE MEAT WAS THE BEST PART LIKEE OOOO GURRL (its 11:30 pm and i just made myself hungry thinking about it dear lord help me )",1,2,2,"Chipotle Mexican Grill","1 Bass Pro Mills Dr, Ste FC6A","Vaughan","ON","L4K 5W4",43.8253343578,-79.5383223519,3,14,1,"Restaurants;Fast Food;Mexican"
"5",351892,"2Ff3ixS3vA70xBcN7pVo9g","_MB3cRynp2C4UyWIOkI88g","iIe1gtgyLqV0ZBbArDQkvg",4,"2016-08-30","The funny thing about Chipotle is they call themselves a fast casual restaurant BUT THE LINES ARE SO LONG?!?! Especially at this location in vaughan mills mall, expect at least a ten minute wait (EVEN on off-peak times).

Got the grilled chicken Burrito Bowl (without guac since I had my avocado fix that morning already) and it was FANTASTIC. Seasoned well, not too greasy, and when I ask for extra lettuce, it's not the here let me give you one additional leaf service you get at sandwich shops... it's the REAL DEAL. My bowl was filled to the brim with sweet corn and lettuce and I have no regrets.

The flavours of Chipotle I can totally see get old if you have it often. Don't frequent this place too much! What makes Chipotle amazing, especially in the GTA, is the fact that there aren't a lot of franchises in the area. Every visit is a rare treat you have to mission for, but at least you know it will be worth :)

NOTE: This location is a bit small and underprepared compared to other chipotle places, since the last time I came here they ran out of rice... burrito bowl without rice? No way Jose.",0,0,0,"Chipotle Mexican Grill","1 Bass Pro Mills Dr, Ste FC6A","Vaughan","ON","L4K 5W4",43.8253343578,-79.5383223519,3,14,1,"Restaurants;Fast Food;Mexican"
"6",351893,"2Ff3ixS3vA70xBcN7pVo9g","R8CeSmdq8Vl8FTXgox8deQ","Q2YALQitEuhXxNuoiH4uyw",1,"2017-03-31","I am sorry this not specific to this particular location but not grilling your burritos is a crime. Someone needs to go to jail for this. 
I am a burrito aficionado and I hated it here.",0,0,0,"Chipotle Mexican Grill","1 Bass Pro Mills Dr, Ste FC6A","Vaughan","ON","L4K 5W4",43.8253343578,-79.5383223519,3,14,1,"Restaurants;Fast Food;Mexican"
"7",351894,"2Ff3ixS3vA70xBcN7pVo9g","23VInK5KOHp4I9YmapX71w","qCYSdhsOzHBKT-V72BiYNA",4,"2016-07-19","I've been avoiding eating at Vaughan Mills mall because there's so much good food just outside the mall. I've had Chipotle before in the US maybe 2-3 times but don't recall anything special about it. Apparently they're all about ingredients with integrity, which means sourcing non-GMO ingredients, responsibly raised meats, etc. I can totally buy into that.

The line was pretty long on a Sunday evening. There was definitely a bottleneck at the cashier because my order had moved down the line quickly and I couldn't hear what they were asking me. I ordered the beef barbacoa bowl with white rice, corn, black beans, lettuce, cheese, and mild sauce. Everything tasted really good. The barbacoa was soft and flavorful, as good as the best barbacoa I've tasted so far. The cilantro-infused white rice was also soft and flavorful. All of the ingredients were definitely fresh. My bowl was completely empty at the end.

I can definitely see the appeal of Chipotle now.",0,0,0,"Chipotle Mexican Grill","1 Bass Pro Mills Dr, Ste FC6A","Vaughan","ON","L4K 5W4",43.8253343578,-79.5383223519,3,14,1,"Restaurants;Fast Food;Mexican"
"8",351895,"2Ff3ixS3vA70xBcN7pVo9g","C-9e81vQsTOM15n1InpIdQ","keLUgL_4y60BkppiAsIk8Q",4,"2016-01-28","Out of all the food choices in the Vaughan Mills food court, this is what I chose, as I prefer quality fresh food.

I have been going to the one at Shops at Don Mills and both locations are pretty good. Out of all the food places in the food court, Chipotle is the one that's always busy and there is a continuous flow of customers.

Food is pretty good and tasty! Service is quick, and servings are huge.

When I go back to Vaughan Mills I will choose Chipotle again, no doubt!



Review 6 of 100",10,5,5,"Chipotle Mexican Grill","1 Bass Pro Mills Dr, Ste FC6A","Vaughan","ON","L4K 5W4",43.8253343578,-79.5383223519,3,14,1,"Restaurants;Fast Food;Mexican"
"9",351896,"2Ff3ixS3vA70xBcN7pVo9g","4ctdbs_Dtvx97FCWIfi5NQ","9w0KZojnjdnGaZ7y9G1keQ",1,"2017-06-23","I decided to try this place last week.  They literally had no burritos. Seriously.  I am not joking. A burrito place with no wraps available.  How many ways can you say WTF?",0,0,0,"Chipotle Mexican Grill","1 Bass Pro Mills Dr, Ste FC6A","Vaughan","ON","L4K 5W4",43.8253343578,-79.5383223519,3,14,1,"Restaurants;Fast Food;Mexican"
"10",351897,"2Ff3ixS3vA70xBcN7pVo9g","RaNwo9R6V3Kj0N-7-IQpGA","pUjccQauq08ICVR480S-Lg",3,"2017-08-03","We stopped in here for burritos. Both chicken, rice & beans. I noticed not as many topping options as other burrito places we frequent. They ran out of guacamole. That was annoying. My burrito fell apart so badly as I tried to eat. This doesn't happen at our other burrito place.",0,0,0,"Chipotle Mexican Grill","1 Bass Pro Mills Dr, Ste FC6A","Vaughan","ON","L4K 5W4",43.8253343578,-79.5383223519,3,14,1,"Restaurants;Fast Food;Mexican"
